1;H;hidrogén;1.00784;0.00008988;13.99;20.271;14.304;2.2
2;He;hélium;4.002602;0.0001785;0.95;4.222;5.193;0
3;Li;lítium;6.398;0.534;453.65;1603;3.582;0.98
4;Be;berillium;9.0121831;1.85;1560;2742;1.825;1.57
5;B;bór;10.806;2.34;2349;4200;1.026;2.04
6;C;szén;12.0096;2.267;3948.15;4300;0.709;2.55
7;N;nitrogén;14.00643;0.0012506;63.15;77.355;1.04;3.04
8;O;oxigén;15.99903;0.001429;54.36;90.188;0.918;3.44
9;F;fluor;18.99840316;0.001696;53.48;85.03;0.824;3.98
10;Ne;neon;20.1797;0.0008999;24.56;27.104;1.03;0
11;Na;nátrium;22.98976928;0.971;370.944;1156.090;1.228;0.93
12;Mg;magnézium;24.304;1.738;923;1363;1.023;1.31
13;Al;alumínium;26.9815385;2.698;933.47;2743;0.897;1.61
14;Si;szilícium;28.084;2.3296;1687;3538;0.705;1.9
15;P;foszfor;30.973762;1.82;317.25;553;0.769;2.19
16;S;kén;32.059;2.067;388.36;717.8;0.71;2.58
17;Cl;klór;35.446;0.003214;171.6;239.11;0.479;3.16
18;Ar;argon;39.948;0.0017837;83.81;87.302;0.52;0
19;K;kálium;39.0983;0.862;336.7;1032;0.757;0.82
20;Ca;kalcium;40.078;1.54;1115;1757;0.647;1
21;Sc;szkandium;44.955908;2.989;1814;3109;0.568;1.36
22;Ti;titán;47.867;4.54;1941;3560;0.523;1.54
23;V;vanádium;50.9415;6.11;2183;3680;0.489;1.63
24;Cr;króm;51.9961;7.15;2180;2944;0.449;1.66
25;Mn;mangán;54.938044;7.44;1519;2334;0.479;1.55
26;Fe;vas;55.845;7.874;1811;3134;0.449;1.83
27;Co;kobalt;58.933194;8.86;1768;3200;0.421;1.88
28;Ni;nikkel;58.6934;8.912;1728;3003;0.444;1.91
29;Cu;réz;63.546;8.96;1357.75;2835;0.385;1.9
30;Zn;cink;65.38;7.134;692.68;1180;0.388;1.65
31;Ga;gallium;69.723;5.907;302.9146;2673;0.371;1.81
32;Ge;germánium;72.63;5.323;1211.4;3106;0.32;2.01
33;As;arzén;74.921595;5.776;0;887;0.329;2.18
34;Se;szelén;78.971;4.809;494;958;0.321;2.55
35;Br;bróm;79.901;3.122;265.8;332;0.474;2.96
36;Kr;kripton;83.798;0.003733;115.78;119.93;0.248;3
37;Rb;rubídium;85.4678;1.532;312.45;961;0.363;0.82
38;Sr;stroncium;87.62;2.64;1050;1650;0.301;0.95
39;Y;ittrium;88.90584;4.469;1799;3203;0.298;1.22
40;Zr;cirkónium;91.224;6.506;2128;4650;0.278;1.33
41;Nb;nióbium;92.90637;8.57;2750;5017;0.265;1.6
42;Mo;molibdén;95.95;10.22;2896;4912;0.251;2.16
43;Tc;technécium;98.906;11.5;2430;4538;0;1.9
44;Ru;ruténium;101.07;12.37;2607;4423;0.238;2.2
45;Rh;ródium;102.9055;12.41;2237;3968;0.243;2.28
46;Pd;palládium;106.42;12.02;1828.05;3236;0.244;2.2
47;Ag;ezüst;107.8682;10.501;1234.93;2435;0.235;1.93
48;Cd;kadmium;112.414;8.69;594.22;1040;0.232;1.69
49;In;indium;114.818;7.31;429.7485;2345;0.233;1.78
50;Sn;ón;118.71;7.287;505.08;2875;0.228;1.96
51;Sb;antimon;121.76;6.685;903.78;1908;0.207;2.05
52;Te;tellúr;127.6;6.232;722.66;1261;0.202;2.1
53;I;jód;126.90447;4.93;386.65;457.4;0.214;2.66
54;Xe;xenon;131.293;0.005887;161.40;165.051;0.158;2.6
55;Cs;cézium;132.905452;1.873;301.7;944;0.242;0.79
56;Ba;bárium;137.327;3.594;1000;2118;0.204;0.89
57;La;lantán;138.9054;6.145;1193;3737;0.195;1.1
58;Ce;cérium;140.116;6.77;1068;3716;0.192;1.12
59;Pr;prazeodímium;140.90766;6.773;1208;3403;0.193;1.13
60;Nd;neodímium;144.242;7.007;1297;3347;0.19;1.14
61;Pm;prométium;146.915;7.26;1315;3273;0;0
62;Sm;szamárium;150.36;7.52;1345;2173;0.197;1.17
63;Eu;európium;151.964;5.243;1099;1802;0.182;0
64;Gd;gadolínium;157.25;7.895;1585;3273;0.236;1.2
65;Tb;terbium;158.92535;8.229;1629;3396;0.182;0
66;Dy;diszprózium;162.5;8.55;1680;2840;0.17;1.22
67;Ho;holmium;164.93033;8.795;1734;2873;0.165;1.23
68;Er;erbium;167.259;9.066;1802;3141;0.168;1.24
69;Tm;túlium;168.93422;9.321;1818;2223;0.16;1.25
70;Yb;itterbium;173.054;6.965;1097;1469;0.155;0
71;Lu;lutécium;174.9668;9.84;1925;3675;0.154;1.27
72;Hf;hafnium;178.49;13.31;2506;4876;0.144;1.3
73;Ta;tantál;180.94788;16.654;3290;5731;0.14;1.5
74;W;volfrám;183.84;19.25;3695;6203;0.132;2.36
75;Re;rénium;186.207;21.02;3459;5903;0.137;1.9
76;Os;ozmium;190.23;22.61;3306;5285;0.13;2.2
77;Ir;irídium;192.217;22.56;2719;4403;0.131;2.2
78;Pt;platina;195.084;21.46;2041.4;4098;0.133;2.28
79;Au;arany;196.966569;19.282;1337.33;3243;0.129;2.54
80;Hg;higany;200.592;13.5336;234.3210;629.88;0.14;2
81;Tl;tallium;204.382;11.85;577;1746;0.129;1.62
82;Pb;ólom;207.2;11.342;600.61;2022;0.129;2.33
83;Bi;bizmut;208.9804;9.807;544.7;1837;0.122;2.02
84;Po;polónium;208.9824;9.32;527;1235;0;2
85;At;asztácium;209.9871;7;575;610;0;2.2
86;Rn;radon;222.0176;0.00973;202;211.5;0.094;0
87;Fr;francium;223.0197;1.87;300;950;0;0.7
88;Ra;rádium;226.0254;5.5;973;2010;0;0.9
89;Ac;aktínium;227.0278;10.07;1500;3650;0.12;1.1
90;Th;tórium;232.0377;11.72;2023;5061;0.113;1.3
91;Pa;protaktínium;231.03588;15.37;1841;4300;0;1.5
92;U;urán;238.02891;18.95;1405.3;4404;0.116;1.38
93;Np;neptúnium;237.0482;20.45;913.5;4447;0;1.36
94;Pu;plutónium;244.0642;19.84;912.5;3505;0;1.28
95;Am;amerícium;243.0614;13.69;1449;2880;0;1.3
96;Cm;kűrium;247.0704;13.51;1613;3383;0;1.3
97;Bk;berkélium;247.0703;14.79;1259;2900;0;1.3
98;Cf;kalifornium;251.0796;15.1;1173;1743;0;1.3
99;Es;einsteinium;252.0829;13.5;1133.15;0;0;1.3
100;Fm;fermium;257.0951;0;0;0;0;1.3
101;Md;mendelévium;258.0986;0;0;0;0;1.3
102;No;nobélium;259.1009;0;0;0;0;1.3
103;Lr;laurencium;264;9.84;0;0;0;0
104;Rf;raderfordium;265;18.1;0;0;0;0
105;Db;dubnium;268;39;0;0;0;0
106;Sg;sziborgium;272;35;0;0;0;0
107;Bh;bohrium;273;37;0;0;0;0
108;Hs;hasszium;276;41;0;0;0;0
109;Mt;meitnérium;279;35;0;0;0;0
110;Ds;darmstadtium;278;21.46;0;0;0;0
111;Rg;röntgénium;283;19.282;0;0;0;0
112;Cn;kopernícium;285;13.5336;0;0;0;0
113;Nh;nihónium;287;11.85;0;0;0;0
114;Fl;fleróvium;289;11.342;0;0;0;0
115;Mc;moszkóvium;291;9.807;0;0;0;0
116;Lv;livermórium;293;9.32;0;0;0;0
