Év;Búza;Kukorica;Árpa;Rozs;Zab;Szójabab;Napraforgómag;Repcemag
1990;5050;4090;4570;2500;3310;1240;1950;1740
1991;5190;6710;4360;2370;2650;2300;2070;1680
1992;4070;3650;3590;1920;2810;1430;1780;1280
1993;3050;3500;2640;1660;1820;1710;1780;1000
1994;4590;3850;3670;2160;2310;1840;1600;1810
1995;4160;4430;3560;2190;2590;1850;1600;1960
1996;3280;5610;2830;1650;2340;2170;1820;1470
1997;4210;6410;3590;2260;2590;2240;1220;1620
1998;4140;5950;3540;2080;2560;2090;1680;1400
1999;3590;6380;3120;2030;2560;2400;1520;1820
2000;3600;4150;2770;2000;1670;1390;1620;1550
2001;4310;6220;3530;2370;2450;2020;1960;1870
2002;3510;5050;2820;1960;2160;2240;1860;1600
2003;2640;3950;2380;1460;1490;1650;1900;1490
2004;5120;7000;4270;2750;3120;2370;2470;2770
2005;4500;7560;3750;2570;2520;2320;2170;2310
2006;4070;6820;3670;2540;2550;2370;2210;2380
2007;3590;3730;3170;2040;2090;1640;2070;2200
2008;4980;7470;4450;2580;2970;2560;2670;2650
2009;3850;6390;3320;1810;2130;2270;2350;2220
2010;3710;6470;3360;2110;2320;2270;1930;2050
2011;4200;6500;3780;2300;2410;2320;2370;2250
2012;3750;4000;3620;2240;2590;1660;2140;2510
2013;4640;5440;4050;3070;2570;1860;2490;2690
2014;4730;7820;4420;2860;2670;2690;2690;3270
2015;5180;5790;4760;2760;2830;2030;2550;2680
2016;5370;8630;5090;3090;2850;3030;2980;3600
2017;5430;6820;5280;3290;2540;2370;2910;3080
2018;5120;8490;4690;3370;2620;2920;2970;3030
2019;5290;8060;5590;3490;3230;2910;3030;3030
2020;5470;8580;5680;3200;2990;2830;2770;2830
2021;5930;6130;6370;3310;3060;2520;2680;2850
